scrap_url,category,brand,name,product_code,price,list_price,qty,color,size,description,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Deri-Gorunumlu-Mont/5387252/2342986,Mont ve Kaban-Kadın,LCW Casual,LCW Casual Biker Yaka Cep Detaylı Uzun Kollu İnce Kadın Deri Görünümlü Mont,S20244Z8-SA7-Yeşil-40,699.99,489.99,1,Yeşil,40,Biker Yaka Cep Detaylı Uzun Kollu İnce Kadın Deri Görünümlü Mont,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a5.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u2.jpg,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Deri-Gorunumlu-Mont/5387252/2342986,Mont ve Kaban-Kadın,LCW Casual,LCW Casual Biker Yaka Cep Detaylı Uzun Kollu İnce Kadın Deri Görünümlü Mont,S20244Z8-SA7-Yeşil-34,699.99,489.99,46,Yeşil,34,Biker Yaka Cep Detaylı Uzun Kollu İnce Kadın Deri Görünümlü Mont,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a5.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u2.jpg,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Deri-Gorunumlu-Mont/5387252/2342986,Mont ve Kaban-Kadın,LCW Casual,LCW Casual Biker Yaka Cep Detaylı Uzun Kollu İnce Kadın Deri Görünümlü Mont,S20244Z8-SA7-Yeşil-36,699.99,489.99,18,Yeşil,36,Biker Yaka Cep Detaylı Uzun Kollu İnce Kadın Deri Görünümlü Mont,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a5.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u2.jpg,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Deri-Gorunumlu-Mont/5387252/2342986,Mont ve Kaban-Kadın,LCW Casual,LCW Casual Biker Yaka Cep Detaylı Uzun Kollu İnce Kadın Deri Görünümlü Mont,S20244Z8-SA7-Yeşil-38,699.99,489.99,0,Yeşil,38,Biker Yaka Cep Detaylı Uzun Kollu İnce Kadın Deri Görünümlü Mont,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_a5.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5387252/l_20221-s20244z8-sa7_u2.jpg,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Sweatshirt/5709509/2326272,Sweatshirt,LCW Casual,LCW Casual Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,S2DC86Z8-HDA-Haki-XS,299.99,239.99,10,Haki,XS,Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Sweatshirt/5709509/2326272,Sweatshirt,LCW Casual,LCW Casual Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,S2DC86Z8-HDA-Haki-S,299.99,239.99,10,Haki,S,Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Sweatshirt/5709509/2326272,Sweatshirt,LCW Casual,LCW Casual Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,S2DC86Z8-HDA-Haki-M,299.99,239.99,3,Haki,M,Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Sweatshirt/5709509/2326272,Sweatshirt,LCW Casual,LCW Casual Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,S2DC86Z8-HDA-Haki-XL,299.99,239.99,4,Haki,XL,Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Sweatshirt/5709509/2326272,Sweatshirt,LCW Casual,LCW Casual Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,S2DC86Z8-HDA-Haki-L,299.99,239.99,8,Haki,L,Dik Yaka Düz Uzun Kollu Kadın Sweatshirt,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5709509/l_20221-s2dc86z8-hda_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/5798384/2348132,Tunik,LCW Modest,LCW Modest Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,S2GT70Z8-S5A-Açık Sarı-3XL,349.99,244.99,70,Açık Sarı,3XL,Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/5798384/2348132,Tunik,LCW Modest,LCW Modest Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,S2GT70Z8-S5A-Açık Sarı-XS,349.99,244.99,4,Açık Sarı,XS,Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/5798384/2348132,Tunik,LCW Modest,LCW Modest Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,S2GT70Z8-S5A-Açık Sarı-2XL,349.99,244.99,119,Açık Sarı,2XL,Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/5798384/2348132,Tunik,LCW Modest,LCW Modest Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,S2GT70Z8-S5A-Açık Sarı-S,349.99,244.99,14,Açık Sarı,S,Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/5798384/2348132,Tunik,LCW Modest,LCW Modest Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,S2GT70Z8-S5A-Açık Sarı-M,349.99,244.99,1,Açık Sarı,M,Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/5798384/2348132,Tunik,LCW Modest,LCW Modest Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,S2GT70Z8-S5A-Açık Sarı-XL,349.99,244.99,32,Açık Sarı,XL,Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Tunik/5798384/2348132,Tunik,LCW Modest,LCW Modest Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,S2GT70Z8-S5A-Açık Sarı-L,349.99,244.99,1,Açık Sarı,L,Bisiklet Yaka Düz Uzun Kollu Oversize Kadın Sweatshirt Tunik,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20221/5798384/l_20221-s2gt70z8-s5a_u1.jpg,,,,,,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Ceket/6460382/2851026,Ceket,LCW Casual,LCW Casual Düz Uzun Kollu Kadın Ceket,S3GH83Z8-SZQ-Ekru-XS,699.99,699.99,3,Ekru,XS,Düz Uzun Kollu Kadın Ceket,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-80-69-85-163_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-80-69-85-163_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-80-69-85-163_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq_u1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq_u2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq_u3.jpg,,
https://www.lcwaikiki.com/tr-TR/TR/urun/LC-WAIKIKI/kadin/Ceket/6460382/2851026,Ceket,LCW Casual,LCW Casual Düz Uzun Kollu Kadın Ceket,S3GH83Z8-SZQ-Ekru-S,699.99,699.99,16,Ekru,S,Düz Uzun Kollu Kadın Ceket,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-80-69-85-163_a.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-80-69-85-163_a1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-80-69-85-163_a2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a3.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq-83-58-90-171_a4.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq_u.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq_u1.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq_u2.jpg,https://img-lcwaikiki.mncdn.com/mnresize/1020/1360/pim/productimages/20231/6460382/v1/l_20231-s3gh83z8-szq_u3.jpg,,
